2016-10-23 15:52:19 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-10-23 15:52:21 INFO  Configuration:2216 - HHH000041: Configured SessionFactory: null
2016-10-23 15:52:41 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2016-10-23 15:52:41 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bank?useUnicode=true&characterEncoding=utf-8]
2016-10-23 15:52:41 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=root, password=****}
2016-10-23 15:52:41 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2016-10-23 15:52:42 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2016-10-23 15:52:48 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2016-10-23 15:53:12 INFO  TransactionFactoryInitiator:62 - HHH000399: Using default transaction strategy (direct JDBC transactions)
2016-10-23 15:53:13 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2016-10-23 15:54:17 INFO  SchemaUpdate:207 - HHH000228: Running hbm2ddl schema update
2016-10-23 15:54:17 INFO  SchemaUpdate:218 - HHH000102: Fetching database metadata
2016-10-23 15:54:18 INFO  SchemaUpdate:230 - HHH000396: Updating schema
2016-10-23 15:54:18 INFO  TableMetadata:65 - HHH000261: Table found: bank.customer
2016-10-23 15:54:18 INFO  TableMetadata:66 - HHH000037: Columns: [birthday, firstname, fathername, nationalid, customerid, id, lastname]
2016-10-23 15:54:18 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2016-10-23 15:54:18 INFO  TableMetadata:69 - HHH000126: Indexes: [uk_56lcwbmybdry0ie1h3nayln65, uk_bi4ed0uxdcr9yy166e6l1rs3k, primary]
2016-10-23 15:54:18 INFO  TableMetadata:65 - HHH000261: Table found: bank.grantcondition
2016-10-23 15:54:18 INFO  TableMetadata:66 - HHH000037: Columns: [maxduration, maxcost, name, column_name, id, minduration, mincost]
2016-10-23 15:54:18 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_cxevon97a78cr8gewbwo1weh8]
2016-10-23 15:54:18 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_cxevon97a78cr8gewbwo1weh8, primary]
2016-10-23 15:54:18 INFO  TableMetadata:65 - HHH000261: Table found: bank.loanfile
2016-10-23 15:54:18 INFO  TableMetadata:66 - HHH000037: Columns: [duration, cost, loantype_id, id, customer_id]
2016-10-23 15:54:18 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_7ual2rnoxs497l9955t106c87, fk_s33nnfr31wh8jysry4p8fhwas]
2016-10-23 15:54:18 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_7ual2rnoxs497l9955t106c87, primary, fk_s33nnfr31wh8jysry4p8fhwas]
2016-10-23 15:54:18 INFO  TableMetadata:65 - HHH000261: Table found: bank.loantype
2016-10-23 15:54:18 INFO  TableMetadata:66 - HHH000037: Columns: [interestrate, name, id]
2016-10-23 15:54:18 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2016-10-23 15:54:18 INFO  TableMetadata:69 - HHH000126: Indexes: [primary]
2016-10-23 15:54:19 INFO  SchemaUpdate:267 - HHH000232: Schema update complete
